code_insee,nom_standard,dep_nom,reg_nom,population,superficie_km2,grille_densite_texte,code_postal,url_wikipedia
01053,Bourg-en-Bresse,Ain,Auvergne-Rhône-Alpes,41525,24,Centres urbains intermédiaires,1000.0,https://fr.wikipedia.org/wiki/fr:Bourg-en-Bresse
01283,Oyonnax,Ain,Auvergne-Rhône-Alpes,22277,36,Centres urbains intermédiaires,1100.0,https://fr.wikipedia.org/wiki/fr:Oyonnax
02408,Laon,Aisne,Hauts-de-France,24021,45,Centres urbains intermédiaires,2000.0,https://fr.wikipedia.org/wiki/fr:Laon
02691,Saint-Quentin,Aisne,Hauts-de-France,52958,23,Centres urbains intermédiaires,2100.0,https://fr.wikipedia.org/wiki/fr:Saint-Quentin
02722,Soissons,Aisne,Hauts-de-France,28705,12,Centres urbains intermédiaires,2200.0,https://fr.wikipedia.org/wiki/fr:Soissons
03185,Montluçon,Allier,Auvergne-Rhône-Alpes,33342,21,Centres urbains intermédiaires,3100.0,https://fr.wikipedia.org/wiki/fr:Montluçon
03310,Vichy,Allier,Auvergne-Rhône-Alpes,25789,6,Centres urbains intermédiaires,3200.0,https://fr.wikipedia.org/wiki/fr:Vichy
04112,Manosque,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,22926,57,Centres urbains intermédiaires,4100.0,https://fr.wikipedia.org/wiki/fr:Manosque
05061,Gap,Hautes-Alpes,Provence-Alpes-Côte d'Azur,40500,109,Centres urbains intermédiaires,5000.0,https://fr.wikipedia.org/wiki/fr:Gap
06004,Antibes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,75130,27,Grands centres urbains,6160.0,https://fr.wikipedia.org/wiki/fr:Antibes
06027,Cagnes-sur-Mer,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,52580,18,Grands centres urbains,6800.0,https://fr.wikipedia.org/wiki/fr:Cagnes-sur-Mer
06029,Cannes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,73255,21,Grands centres urbains,6150.0,https://fr.wikipedia.org/wiki/fr:Cannes
06030,Le Cannet,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,41597,8,Grands centres urbains,6110.0,https://fr.wikipedia.org/wiki/fr:Le Cannet
06069,Grasse,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,48323,44,Centres urbains intermédiaires,6130.0,https://fr.wikipedia.org/wiki/fr:Grasse
06079,Mandelieu-la-Napoule,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,21561,32,Grands centres urbains,6210.0,https://fr.wikipedia.org/wiki/fr:Mandelieu-la-Napoule
06083,Menton,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,30412,14,Centres urbains intermédiaires,6500.0,https://fr.wikipedia.org/wiki/fr:Menton (Alpes-Maritimes)
