code_insee,nom_standard,dep_nom,reg_nom,population,superficie_km2,grille_densite_texte,code_postal,url_wikipedia,latitude_centre,longitude_centre
01053,Bourg-en-Bresse,Ain,Auvergne-Rhône-Alpes,41525,24,Centres urbains intermédiaires,1000.0,https://fr.wikipedia.org/wiki/fr:Bourg-en-Bresse,46.205,5.246
01283,Oyonnax,Ain,Auvergne-Rhône-Alpes,22277,36,Centres urbains intermédiaires,1100.0,https://fr.wikipedia.org/wiki/fr:Oyonnax,46.26,5.653
02408,Laon,Aisne,Hauts-de-France,24021,45,Centres urbains intermédiaires,2000.0,https://fr.wikipedia.org/wiki/fr:Laon,49.568,3.621
02691,Saint-Quentin,Aisne,Hauts-de-France,52958,23,Centres urbains intermédiaires,2100.0,https://fr.wikipedia.org/wiki/fr:Saint-Quentin,49.847,3.278
02722,Soissons,Aisne,Hauts-de-France,28705,12,Centres urbains intermédiaires,2200.0,https://fr.wikipedia.org/wiki/fr:Soissons,49.379,3.325
03185,Montluçon,Allier,Auvergne-Rhône-Alpes,33342,21,Centres urbains intermédiaires,3100.0,https://fr.wikipedia.org/wiki/fr:Montluçon,46.339,2.604
03310,Vichy,Allier,Auvergne-Rhône-Alpes,25789,6,Centres urbains intermédiaires,3200.0,https://fr.wikipedia.org/wiki/fr:Vichy,46.13,3.424
04112,Manosque,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,22926,57,Centres urbains intermédiaires,4100.0,https://fr.wikipedia.org/wiki/fr:Manosque,43.835,5.791
05061,Gap,Hautes-Alpes,Provence-Alpes-Côte d'Azur,40500,109,Centres urbains intermédiaires,5000.0,https://fr.wikipedia.org/wiki/fr:Gap,44.58,6.065
06004,Antibes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,75130,27,Grands centres urbains,6160.0,https://fr.wikipedia.org/wiki/fr:Antibes,43.588,7.106
06027,Cagnes-sur-Mer,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,52580,18,Grands centres urbains,6800.0,https://fr.wikipedia.org/wiki/fr:Cagnes-sur-Mer,43.672,7.153
