Code;Libellé;Nb d'emplois au lieu de travail (LT) 2021;Part des emplois sal. dans le nb d’emplois au LT 2021;Population municipale 2022
1053;Bourg-en-Bresse;33054;92.4;42065
1283;Oyonnax;10665;89.4;22378
2408;Laon;16058;92.8;24066
2691;Saint-Quentin;27128;91.3;52995
2722;Soissons;13932;89.8;28667
3185;Montluçon;18383;90.6;33317
3310;Vichy;12492;84.3;25702
4112;Manosque;13556;86.5;22807
5061;Gap;21961;86;40656
6004;Antibes;31576;81.2;76612
6027;Cagnes-sur-Mer;15925;77.2;52852
6029;Cannes;38810;81.2;74040
6030;Le Cannet;9154;75;40198
6069;Grasse;19702;83.4;48669
6079;Mandelieu-la-Napoule;7856;79.5;21201
6083;Menton;8791;80.4;30326
6088;Nice;152484;82.9;353701
6123;Saint-Laurent-du-Var;13012;83.8;31645
6155;Vallauris;8362;80.1;28579
8105;Charleville-Mézières;27461;92;45634
10387;Troyes;33483;89.3;62443
11069;Carcassonne;32229;88.4;46429
11262;Narbonne;29563;84;56692
12145;Millau;9695;83.4;21859
12202;Rodez;21671;89.5;24136
13001;Aix-en-Provence;100848;86.1;147933
13002;Allauch;3631;75.4;21404
13004;Arles;19871;81.9;51156
13005;Aubagne;27742;87.8;47724
13028;La Ciotat;14148;81.9;37599
13041;Gardanne;8085;85.2;21534
13047;Istres;16076;90.5;44044
13054;Marignane;24248;92.8;33164
13055;Marseille;359111;86.2;877215
13056;Martigues;20600;89.4;48818
13063;Miramas;8655;88.6;25891
13071;Les Pennes-Mirabeau;7046;83;22423
13103;Salon-de-Provence;20640;86.6;44553
13117;Vitrolles;25264;91.6;36612
14118;Caen;77220;89.4;108398
14327;Hérouville-Saint-Clair;12626;92.8;22473
15014;Aurillac;21716;90.6;26189
16015;Angoulême;29406;89.5;41423
17299;Rochefort;17989;90;23188
17300;La Rochelle;49356;85.4;79961
17415;Saintes;20491;89;25312
18033;Bourges;39559;91.5;64238
18279;Vierzon;10468;89.5;25254
19031;Brive-la-Gaillarde;29551;88.5;46769
21054;Beaune;14964;86.9;20233
21231;Dijon;97829;89.7;159941
22113;Lannion;15468;90;20525
22278;Saint-Brieuc;27382;91.1;44607
24037;Bergerac;15300;84.9;26852
24322;Périgueux;22114;88;29876
25056;Besançon;73150;90.8;120057
25388;Montbéliard;16795;92.2;25516
